Product Number,Category,Units Sold,Unit Price,Lead Time (in days),Unit Cost,Holding Cost,Order Cost,Month,,,,,,A CLASS:,DEMAND,FIXED COST,HOLDING COST,EOQ
BVTWE,Item #5,38,15.66866494,2.5,8.229605443,0.252802951,167.1748652,January,,,,,,,,,,
CLCBO,Item #3,94,16.79145819,4,9.887225635,0.829017415,502.8412853,July,,,,,,,,,,
CLCBO,Item #3,62,6.301616199,4,3.558248351,0.330341425,306.0490252,December,,,,,,,,,,
CLCBO,Item #3,30,12.66821392,4,7.309431772,0.583434078,268.3255308,April,,,,,,,,,,
CLCBO,Item #3,43,9.268114527,4,7.934681857,0.26300464,368.5501563,June,,,,,,,,,,
CLCBO,Item #3,77,11.54710635,4,6.979652365,0.477596846,285.255593,March,,,,,,,,,,
CLCBO,Item #3,10,17.55169149,4,10.19383166,0.5445475,237.712173,May,,,,,,,,,,
CLCBO,Item #3,56,6.292611868,4,3.866193161,0.328156712,429.5407999,January,,,,,,,,,,
CLCBO,Item #3,68,12.90236068,4,11.13081199,0.922811137,411.9247776,August,,,,,,,,,,
CLCBO,Item #3,14,6.820955711,4,4.692096438,0.2677098,259.9948911,November,,,,,,,,,,
CLCBO,Item #3,69,14.11967883,4,10.07763258,0.92021927,397.9005507,September,,,,,,,,,,
CLCBO,Item #3,19,8.729126058,4,5.398962429,0.51827684,294.4407244,February,,,,,,,,,,
CLCBO,Item #3,87,15.3625841,4,10.72568537,0.531589979,543.4408884,October,,,,,,,,,,
CRPQI,Item #1,63,10.17799351,4,7.736798563,0.659108528,286.9196402,May,,,,,,,,,,
CRPQI,Item #1,76,7.859150469,4,4.913721999,0.141918518,396.4082394,October,,,,,,,,,,
CRPQI,Item #1,83,2.83812616,4,2.048779519,0.20197921,364.2742273,August,,,,,,,,,,
CRPQI,Item #1,89,6.423936022,4,5.28797581,0.233304426,266.4134596,September,,,,,,,,,,
CRPQI,Item #1,49,13.50532726,4,9.17179604,0.603489967,218.3129659,June,,,,,,,,,,
CRPQI,Item #1,48,12.90335539,4,9.117519118,0.741136325,339.478434,January,,,,,,,,,,
CRPQI,Item #1,33,18.2257628,4,11.70779968,0.905958508,200.3499335,December,,,,,,,,,,
CRPQI,Item #1,41,14.42171235,4,7.662873488,0.750239611,345.6015494,July,,,,,,,,,,
CRPQI,Item #1,94,18.81968953,4,11.82818893,0.68761303,442.2807967,November,,,,,,,,,,
CRPQI,Item #1,36,10.80831369,4,7.940031432,0.242841739,264.1615262,March,,,,,,,,,,
CRPQI,Item #1,90,13.21533578,4,9.961465608,0.516561645,320.5724602,April,,,,,,,,,,
CRPQI,Item #1,72,10.12781229,4,7.21548214,0.43983042,405.9207383,February,,,,,,,,,,
CTUMH,Item #9,79,8.906611744,4,5.687694555,0.20333949,370.0901719,April,,,,,,,,,,
CTUMH,Item #9,80,2.725951242,4,1.600416467,0.083004425,425.834817,July,,,,,,,,,,
CTUMH,Item #9,23,3.312842303,4,2.249211157,0.122571608,345.5301046,January,,,,,,,,,,
CTUMH,Item #9,58,7.938189469,4,7.134853613,0.157479275,421.6620809,August,,,,,,,,,,
CTUMH,Item #9,61,1.370847075,4,0.913683595,0.035106287,318.4317641,March,,,,,,,,,,
CTUMH,Item #9,27,13.03088912,4,10.94443118,1.090211476,336.6228316,June,,,,,,,,,,
CTUMH,Item #9,82,0.965822731,4,0.848371661,0.022601754,337.652632,November,,,,,,,,,,
CTUMH,Item #9,45,17.4096299,4,9.556940277,0.429908344,161.3310685,December,,,,,,,,,,
CTUMH,Item #9,10,4.984361311,4,3.173356935,0.210250051,175.6974596,May,,,,,,,,,,
CTUMH,Item #9,34,13.5894837,4,10.52550111,0.320918634,195.3829382,February,,,,,,,,,,
CTUMH,Item #9,41,12.61398311,4,7.281316219,0.374147265,226.8798077,September,,,,,,,,,,
CTUMH,Item #9,91,19.85144094,4,13.39480683,0.423699299,339.7246005,October,,,,,,,,,,
CWQPP,Item #6,98,15.5470734,4,8.49935951,0.622149597,397.8134097,August,,,,,,,,,,
CWQPP,Item #6,20,6.573276883,4,4.627518659,0.344188419,226.6434902,April,,,,,,,,,,
CWQPP,Item #6,41,14.85007487,4,9.39583141,0.458252648,165.4907447,March,,,,,,,,,,
CWQPP,Item #6,23,15.2390253,4,9.433351565,0.19041001,179.1454469,November,,,,,,,,,,
CWQPP,Item #6,70,18.57413404,4,9.919202213,0.829069975,415.1301823,June,,,,,,,,,,
CWQPP,Item #6,27,0.962034489,4,0.771015838,0.029497279,234.1381771,September,,,,,,,,,,
CWQPP,Item #6,11,13.46931865,4,10.7519409,0.64364638,166.5166604,May,,,,,,,,,,
CWQPP,Item #6,70,16.00566155,4,8.228594681,0.610036113,451.3380965,July,,,,,,,,,,
CWQPP,Item #6,87,13.02105177,4,8.561561494,0.437326789,374.9194947,December,,,,,,,,,,
CWQPP,Item #6,13,16.23943723,4,10.00826423,0.607850702,251.7416703,January,,,,,,,,,,
CWQPP,Item #6,39,17.71622615,4,11.64629219,0.832377632,259.5366452,February,,,,,,,,,,
CWQPP,Item #6,91,8.713944264,4,7.390208142,0.377459659,458.697263,October,,,,,,,,,,
CWRDH,Item #1,20,1.529988003,2.3,1.24853942,0.074961676,320.4396125,January,,,,,,,,,,
CWRDH,Item #1,83,17.06496236,2.3,9.391572737,0.286602352,203.874368,May,,,,,,,,,,
CWRDH,Item #1,80,11.85702941,2.3,10.42837198,0.475553443,378.9874783,October,,,,,,,,,,
CWRDH,Item #1,31,17.59014511,2.3,12.31090891,0.34132392,323.474212,March,,,,,,,,,,
CWRDH,Item #1,39,1.624506428,2.3,0.880521305,0.051267278,234.5434234,April,,,,,,,,,,
CWRDH,Item #1,36,2.32218639,2.3,1.981595944,0.149490062,222.3037921,February,,,,,,,,,,
CWRDH,Item #1,94,5.900439423,2.3,4.180021542,0.363429061,438.7525654,September,,,,,,,,,,
CWRDH,Item #1,24,8.556041391,2.3,4.469867652,0.34445023,201.3494749,June,,,,,,,,,,
CWRDH,Item #1,23,9.14147692,2.3,7.377911405,0.20591126,309.1597795,July,,,,,,,,,,
CWRDH,Item #1,51,9.599272787,2.3,7.975210645,0.362471597,354.4331144,November,,,,,,,,,,
CWRDH,Item #1,55,8.22584362,2.3,6.556885141,0.351316359,400.8199835,December,,,,,,,,,,
CWRDH,Item #1,63,7.865460636,2.3,6.288249031,0.627121011,342.0936663,August,,,,,,,,,,
DHBXI,Item #5,57,4.067562821,2.3,3.035152578,0.200477589,334.6673015,April,,,,,,,,,,
DHBXI,Item #5,86,6.661808043,2.3,5.721576274,0.483949594,350.0097773,January,,,,,,,,,,
DHBXI,Item #5,77,5.110886407,2.3,2.634631679,0.131382903,254.9367976,May,,,,,,,,,,
DHBXI,Item #5,65,18.73558723,2.3,13.16582874,0.875651425,255.5052227,February,,,,,,,,,,
DHBXI,Item #5,93,3.038996763,2.3,2.41428079,0.07776748,425.0888929,November,,,,,,,,,,
DHBXI,Item #5,38,2.844711243,2.3,2.205424585,0.199703943,380.5583502,October,,,,,,,,,,
DHBXI,Item #5,91,10.23404577,2.3,7.625816683,0.49379279,333.1647446,June,,,,,,,,,,
DHBXI,Item #5,77,2.683606232,2.3,2.377095184,0.083034806,457.4411719,December,,,,,,,,,,
DHBXI,Item #5,56,6.14879252,2.3,4.496875863,0.136670718,324.2817194,August,,,,,,,,,,
DHBXI,Item #5,55,15.66066163,2.3,12.52991436,0.922369802,308.6741695,July,,,,,,,,,,
DHBXI,Item #5,29,2.027842243,2.3,1.052449604,0.100704048,345.1403827,March,,,,,,,,,,
DHBXI,Item #5,50,12.1284924,2.3,6.530416206,0.562560078,405.2856399,September,,,,,,,,,,
DKYVV,Item #9,22,3.576156037,2.3,2.617107683,0.220952134,287.6258344,September,,,,,,,,,,
DKYVV,Item #9,58,14.70732384,2.3,13.01298018,0.947687668,186.816469,October,,,,,,,,,,
DKYVV,Item #9,91,14.00986837,2.3,8.041590339,0.514066249,470.5101875,May,,,,,,,,,,
DKYVV,Item #9,44,9.239953113,2.3,8.162850922,0.518357588,237.3155879,June,,,,,,,,,,
DKYVV,Item #9,49,8.743082754,2.3,6.209339729,0.321298997,304.2926988,March,,,,,,,,,,
DKYVV,Item #9,15,17.24662417,2.3,9.886703919,0.899351871,243.6555803,February,,,,,,,,,,
DKYVV,Item #9,12,18.91507351,2.3,17.88680809,1.563677655,224.7505806,January,,,,,,,,,,
DKYVV,Item #9,70,14.67359222,2.3,13.83751174,1.267033043,414.143091,August,,,,,,,,,,
DKYVV,Item #9,91,4.441835682,2.3,3.117709429,0.089497985,461.2603308,November,,,,,,,,,,
DKYVV,Item #9,88,2.4137057,2.3,1.267987246,0.05615116,475.9005603,July,,,,,,,,,,
DKYVV,Item #9,97,2.315930045,2.3,1.700072733,0.100702878,357.4739267,April,,,,,,,,,,
DKYVV,Item #9,35,4.442456795,2.3,3.00689531,0.280401611,296.5684403,December,,,,,,,,,,
DNXYY,Item #2,46,16.99482861,2.3,12.68873983,1.219642652,350.1312568,February,,,,,,,,,,
DNXYY,Item #2,79,12.25717615,2.3,10.35300407,0.734802944,345.0820364,June,,,,,,,,,,
DNXYY,Item #2,93,8.573300003,2.3,7.324035523,0.475532924,282.8604903,September,,,,,,,,,,
DNXYY,Item #2,11,4.972596044,2.3,2.900985245,0.094655413,208.6000316,November,,,,,,,,,,
DNXYY,Item #2,22,18.13616741,2.3,16.46653213,0.602297306,250.743937,August,,,,,,,,,,
DNXYY,Item #2,33,14.77735001,2.3,10.13626621,0.733971417,221.3530834,December,,,,,,,,,,
DNXYY,Item #2,85,11.31291375,2.3,8.531827256,0.208535605,427.6345043,January,,,,,,,,,,
DNXYY,Item #2,39,2.427196635,2.3,1.801550212,0.089022984,172.4021664,July,,,,,,,,,,
DNXYY,Item #2,23,18.30644795,2.3,14.06461182,0.664290505,359.6561758,April,,,,,,,,,,
DNXYY,Item #2,45,4.334613078,2.3,2.474322207,0.180960532,394.2169827,March,,,,,,,,,,
DNXYY,Item #2,87,4.379213084,2.3,3.585381801,0.135968881,334.8154583,May,,,,,,,,,,
DNXYY,Item #2,58,12.94181526,2.3,6.916515805,0.373286705,213.345959,October,,,,,,,,,,
DOCFZ,Item #1,62,7.838658435,2.3,7.29924991,0.644720774,307.0394073,February,,,,,,,,,,
DOCFZ,Item #1,93,5.699550578,2.3,4.33044586,0.257795419,392.6709122,April,,,,,,,,,,
DOCFZ,Item #1,41,16.90445425,2.3,15.46403319,0.438061983,395.1649914,September,,,,,,,,,,
DOCFZ,Item #1,81,4.376849526,2.3,3.796699155,0.139466172,396.7281854,June,,,,,,,,,,
DOCFZ,Item #1,50,6.265205148,2.3,3.498905248,0.26250972,378.4184739,March,,,,,,,,,,
DOCFZ,Item #1,97,8.31832932,2.3,5.133355501,0.104345633,417.4193495,August,,,,,,,,,,
DOCFZ,Item #1,42,13.543823,2.3,12.1446671,0.758266193,246.8969115,December,,,,,,,,,,
DOCFZ,Item #1,82,19.36608786,2.3,12.29391376,0.705506061,314.8747185,January,,,,,,,,,,
DOCFZ,Item #1,94,4.299581752,2.3,3.46899129,0.265865291,212.2782951,October,,,,,,,,,,
DOCFZ,Item #1,75,12.38387119,2.3,6.316780697,0.265865575,484.8800156,July,,,,,,,,,,
DOCFZ,Item #1,13,17.19549394,2.3,8.839987394,0.660685574,302.1477725,May,,,,,,,,,,
DOCFZ,Item #1,95,16.96783639,2.3,14.72164564,0.508613378,271.3648107,November,,,,,,,,,,
DYRPU,Item #7,60,2.783798417,2.3,1.449695482,0.072385981,324.3052773,March,,,,,,,,,,
DYRPU,Item #7,79,11.58352752,2.3,7.605548664,0.360256825,340.9564116,October,,,,,,,,,,
DYRPU,Item #7,18,14.30693529,2.3,13.20123042,0.952965304,310.6441516,September,,,,,,,,,,
DYRPU,Item #7,15,8.941530298,2.3,4.53275589,0.097712876,219.0408516,May,,,,,,,,,,
DYRPU,Item #7,34,4.994283368,2.3,2.850019429,0.17212573,298.5703449,December,,,,,,,,,,
DYRPU,Item #7,42,2.838587869,2.3,1.511674419,0.121318245,255.0212735,June,,,,,,,,,,
DYRPU,Item #7,42,15.53388192,2.3,8.150117119,0.667253828,251.2007407,July,,,,,,,,,,
DYRPU,Item #7,45,10.50949313,2.3,8.031615248,0.436217253,234.3031652,February,,,,,,,,,,
DYRPU,Item #7,64,10.80456993,2.3,8.336784106,0.44991341,424.5333427,April,,,,,,,,,,
DYRPU,Item #7,44,1.496250528,2.3,1.252305088,0.026374771,293.4370829,August,,,,,,,,,,
DYRPU,Item #7,61,8.493401804,2.3,5.679173326,0.128617525,303.4603056,January,,,,,,,,,,
DYRPU,Item #7,84,14.73714446,2.3,7.379743341,0.248629223,432.7260786,November,,,,,,,,,,
ECNBC,Item #5,15,5.804786616,2.3,4.725798458,0.135788342,220.6739722,November,,,,,,,,,,
ECNBC,Item #5,98,18.19468608,2.3,13.86640876,0.755055301,420.4167498,March,,,,,,,,,,
ECNBC,Item #5,99,2.527650818,2.3,1.841141929,0.11016771,370.7307297,June,,,,,,,,,,
ECNBC,Item #5,93,4.362179327,2.3,3.98890426,0.360048857,445.169514,August,,,,,,,,,,
ECNBC,Item #5,39,19.45347013,2.3,11.19536529,1.117104379,275.9840776,July,,,,,,,,,,
ECNBC,Item #5,40,3.595980846,2.3,2.852014506,0.233018536,248.1647142,April,,,,,,,,,,
