Product Number,Month Num,Predicted Demand with Noise,Adjusted Predicted Demand
VODQA,6,104.67468959832304,104.59496081740484
VODQA,12,107.9096531615281,107.66817620244964
VODQA,4,105.5821520595715,105.45705015559086
VODQA,11,114.23696570608396,113.67912311977771
VODQA,2,80.18634503941723,81.33103348644431
VODQA,5,93.09972157653584,93.598741196707
VODQA,3,106.00549780889928,105.85922861745226
VODQA,1,76.7447888258766,78.06155508358071
UHXML,3,84.62177249538172,85.66674603008742
UHXML,9,117.28130952869776,116.69330621173766
UHXML,1,97.42826911369436,97.83291781748443
UHXML,11,139.3176955067629,137.62787289089957
UHXML,5,121.05724738038404,120.28044717083962
UHXML,12,139.0269914203028,137.35170400876245
UHXML,4,79.7129176227764,81.00333390111237
UHXML,2,89.53454564327792,90.3338805205888
UHXML,6,99.65474947814656,99.94807416371401
UHXML,10,112.33100485954566,111.99051677604317
UHXML,7,74.46849862579403,76.02113585397912
UHXML,8,111.81991659918626,111.50498292870174
XVCIK,11,122.08740943366466,121.30016940754535
XVCIK,7,105.27358468282986,105.3270358942523
XVCIK,10,98.54429049647308,98.93420641721336
XVCIK,9,109.45383744961248,109.29827602269579
XVCIK,12,122.03974693372236,121.25489003260016
XVCIK,3,98.39065114823664,98.78824903638873
XVCIK,5,121.21246754970689,120.46897461778546
XVCIK,6,101.57497014984465,101.81335208791634
XVCIK,4,89.92482895517136,90.74571795297672
XVCIK,8,120.2083820883633,119.51509342950905
XVCIK,2,94.99625077785058,95.56356868452198
XVCIK,1,92.40488726986656,93.10177335193717
PCVUK,8,107.04547479589922,107.1720925963817
PCVUK,4,105.70303613120171,105.89677586491906
PCVUK,2,108.16352391384756,108.23423925843262
PCVUK,3,108.7904128793677,108.82978377567674
PCVUK,7,106.57842293775124,106.72839333114112
PCVUK,10,106.27603657197004,106.44112628364898
PCVUK,6,100.7914072064324,101.23072838638822
PCVUK,5,90.49808540111712,91.45207267133871
PCVUK,9,129.07713921345555,128.10217379306022
PCVUK,1,104.44673075133676,104.70328575404736
PCVUK,11,138.95019273925695,137.48157464257156
PCVUK,12,108.61350712495155,108.66172330898142
QGVDQ,12,118.31479496645508,117.68381614964353
QGVDQ,3,102.83123455772812,102.97443376135293
QGVDQ,6,98.29126453616703,98.6614622408699
QGVDQ,10,129.31044658410522,128.12968518641117
QGVDQ,4,97.38419341125798,97.79974467220629
QGVDQ,2,95.25999054040388,95.78175194489489
QGVDQ,7,107.9680163179326,107.85437643354717
QGVDQ,8,101.87681705570272,102.0677371344288
QGVDQ,1,82.32505949250789,83.49356744939371
QGVDQ,9,120.68498401796904,119.9354957485818
QGVDQ,11,112.28390992987364,111.95447536489117
QGVDQ,5,101.81191215258696,102.00607747646882
MNKUJ,3,104.7087537804307,104.47901680680108
MNKUJ,6,105.45062034865984,105.18379004661877
MNKUJ,7,94.07072216237698,94.37288676965005
MNKUJ,2,96.86357782287226,97.02609964712056
MNKUJ,12,113.03666612883724,112.39053353778729
MNKUJ,8,103.83994249545108,103.65364608607045
MNKUJ,5,83.44410178908237,84.27759741502017
MNKUJ,11,129.87790992826712,128.38971514724568
MNKUJ,1,71.37350957962641,72.81053481603702
MNKUJ,10,120.40186649246132,119.38747388323017
MNKUJ,4,84.07745282020612,84.87928089458774
MNKUJ,9,94.22304834578908,94.51759664389155
ZTXRL,9,120.53385052224776,119.86131172341744
ZTXRL,10,132.02604110112853,130.77889277335416
ZTXRL,7,94.87366779437404,95.48413813193741
ZTXRL,2,97.41990136685,97.90306002578957
ZTXRL,12,131.90153426631943,130.66061128028554
ZTXRL,4,95.86740120758604,96.42818487448882
ZTXRL,5,94.3165649563858,94.9548904358486
ZTXRL,1,91.64766668350636,92.41943707661312
ZTXRL,11,110.1646940569295,110.01061308136511
ZTXRL,3,105.24908518362732,105.34078465172803
ZTXRL,8,102.22361370504616,102.46658674707594
ZTXRL,6,108.77287370369731,108.68838374579452
NQFEV,10,105.054430893621,104.98584906789375
NQFEV,2,85.84545246164608,86.73731955751757
NQFEV,6,97.975262560572,98.2606391514972
NQFEV,1,87.49029870749365,88.29992349107276
NQFEV,11,118.0860030272354,117.36584259482743
NQFEV,3,96.73372351045889,97.08117705388975
NQFEV,12,133.44011228904424,131.9522463935458
NQFEV,5,118.05265645287342,117.33416334918354
NQFEV,8,96.33945770937218,96.70662454285737
NQFEV,7,106.18170043415228,106.05675513139846
NQFEV,9,107.20165629348269,107.02571319776234
NQFEV,4,91.7927782089596,92.38727901746542
YCTDN,6,109.59466098823636,109.28370211055172
YCTDN,7,97.5735685357622,97.86366428070127
YCTDN,10,99.03303218226372,99.25015474487772
YCTDN,11,140.3350164998585,138.48703984659275
YCTDN,9,100.85532471977176,100.98133265551034
YCTDN,1,88.81352427866487,89.5416222364588
YCTDN,5,93.61619620345978,94.10416056501397
YCTDN,12,123.42954887220536,122.42684560032227
YCTDN,2,94.13580689371672,94.59779072075806
YCTDN,8,97.32671741969224,97.62915572043481
YCTDN,4,87.10800642680368,87.92138027719068
YCTDN,3,108.68439819408653,108.41895245610938
AKMDJ,11,122.62555733936554,121.58674478493877
AKMDJ,1,86.30988161393078,87.08685284577575
AKMDJ,6,97.28494602028027,97.51316403180776
AKMDJ,12,117.347811675317,116.57288640409266
AKMDJ,8,128.31781138266152,126.99438612606994
AKMDJ,3,94.02183758635545,94.41321101957918
AKMDJ,7,95.84683866696254,96.14696204615592
AKMDJ,5,82.92136113698126,83.86775839267371
AKMDJ,9,114.54077745865575,113.90620389826447
AKMDJ,2,88.6976507475492,89.35523352271325
AKMDJ,4,85.83090982916232,86.6318296502457
AKMDJ,10,108.44629155273893,108.11644228764348
HSEOM,11,105.26112935183522,105.27979505873176
HSEOM,1,99.8900765180095,100.17729486659732
HSEOM,7,98.34237098839164,98.70697461346036
HSEOM,12,112.85364352303816,112.49268352137456
HSEOM,2,74.53462378773843,76.08961477283981
HSEOM,4,102.61644240002536,102.7673424545124
HSEOM,10,123.7008585761196,122.79753782180192
HSEOM,8,96.75336929641692,97.19742300608438
HSEOM,3,90.54869373681125,91.30298122445899
HSEOM,5,126.89719726969952,125.83405958070284
HSEOM,6,99.21223609498072,99.53334646472
HSEOM,9,137.00268033412843,135.43426849191033
FGGEB,1,79.36192458689973,80.57281354978866
FGGEB,7,106.94224488890252,106.77411783669132
FGGEB,9,117.77112750466247,117.06155632166328
FGGEB,5,98.50552565276658,98.75923456236217
FGGEB,11,95.1192624066353,95.54228447853745
FGGEB,4,116.95361095965984,116.28491560391076
FGGEB,6,121.26526012011249,120.38098230634078
FGGEB,8,103.02705094454268,103.05468358954947
FGGEB,2,95.62881714060546,96.02636147580911
FGGEB,12,123.47033359111346,122.47580210379171
FGGEB,10,98.08709647721916,98.36172684559213
FGGEB,3,86.8241918630223,87.66196746210511
ZXFQE,1,85.28709595899434,86.3055634041349
ZXFQE,7,104.04481768788048,104.12539904657673
ZXFQE,11,117.46755054689808,116.87699526264345
ZXFQE,5,100.73637857052375,100.98238188508785
ZXFQE,4,100.85948344304504,101.09933151398306
ZXFQE,3,103.25866945541873,103.37855822573806
ZXFQE,10,127.8241507425318,126.71576544849549
ZXFQE,9,109.67665763962376,109.47564700073285
ZXFQE,8,106.55042157676648,106.50572274101843
ZXFQE,12,114.1027103434344,113.68039706935295
ZXFQE,2,95.7663591660142,96.26086345080377
ZXFQE,6,102.3030432105348,102.47071329309833
LCHTU,11,115.48884756683816,115.16306925461123
LCHTU,9,107.12918701199511,107.22139172751034
LCHTU,4,93.91379216945056,94.66676662709301
LCHTU,1,99.57105388299456,100.04116525495982
LCHTU,3,88.32159123169728,89.3541757362274
LCHTU,5,107.6003851068116,107.669029917586
LCHTU,7,117.81805622154384,117.37581747658163
LCHTU,12,122.54064652032147,121.86227826042038
LCHTU,10,107.33943792128552,107.42113009133622
LCHTU,2,114.9776544131462,114.67743575860386
LCHTU,8,123.7037670509727,122.96724276453905
LCHTU,6,109.27495677053822,109.2598729981263
VTRXP,3,111.68744413664014,111.4886263518414
VTRXP,10,125.51828690950006,124.62792698605834
VTRXP,11,110.73776575736316,110.58643189152828
VTRXP,1,89.02235782452551,89.95679435533252
VTRXP,4,101.88444784713796,102.17577987681435
VTRXP,5,112.45089576492389,112.21390539871096
VTRXP,7,105.89132834479624,105.9823163495897
VTRXP,8,128.58410602894182,127.540455149528
VTRXP,12,109.72723860705656,109.62643109873702
VTRXP,2,93.36896821714414,94.08607422832021
VTRXP,9,111.6250047704066,111.42930895391954
VTRXP,6,92.03521707955063,92.81901064760638
GWVCV,9,118.57378936995052,118.00919085408769
GWVCV,5,130.24350559835335,129.0954212710704
GWVCV,10,117.34051468726643,116.83757990553782
GWVCV,2,102.84211486123527,103.06410007080822
GWVCV,8,95.82533764381488,96.39816171425883
GWVCV,11,113.90918145774172,113.57781333748935
GWVCV,12,123.0020138442209,122.21600410464455
GWVCV,3,94.7233801634889,95.35130210794917
GWVCV,1,90.30670799097577,91.15546354406169
GWVCV,4,113.8005498282913,113.47461328951144
GWVCV,7,96.88041894330668,97.40048894877606
GWVCV,6,89.93431424368534,90.80168948413578
RYSQA,11,109.94728339872182,109.71013957758453
RYSQA,12,132.2640167379853,130.9110362498848
RYSQA,2,99.24984401638004,99.54757216435983
RYSQA,4,94.5394439879242,95.07269213732678
RYSQA,5,105.29778923877916,105.29312012563899
RYSQA,1,77.25440711568486,78.6519071086994
RYSQA,6,105.9425655622914,105.90565763297563
RYSQA,7,114.58703925924212,114.1179076450788
RYSQA,10,113.4778463715955,113.06417440181453
RYSQA,3,111.9180939349797,111.5824095870295
RYSQA,9,105.56679592631086,105.5486764787941
RYSQA,8,92.40775816181456,93.04759060252262
BMGII,12,124.36856580457298,123.1820880575012
BMGII,7,103.32663427172936,103.19225310129977
BMGII,10,98.61629780859288,98.71743346132011
BMGII,6,99.32306102461968,99.38885851654557
BMGII,3,74.19668516985902,75.51880145452294
BMGII,9,108.03361913792524,107.66388872418585
BMGII,4,82.87544162273615,83.76362008475621
BMGII,5,96.88759741596596,97.07516808832453
BMGII,1,83.91402308077517,84.75027246989329
BMGII,2,100.48207488168327,100.48992168075598
BMGII,11,117.9774204876258,117.1105000064014
BMGII,8,117.66670965156572,116.81532471214432
