Product Number,Month Num,Predicted Demand with Noise
LCHTU,4,93.91379216945057
LCHTU,1,99.57105388299455
LCHTU,3,88.32159123169728
LCHTU,5,107.6003851068116
LCHTU,7,117.81805622154383
LCHTU,12,122.54064652032147
LCHTU,10,107.33943792128551
LCHTU,2,114.97765441314621
LCHTU,8,123.7037670509727
LCHTU,6,109.27495677053822
VTRXP,3,111.68744413664014
VTRXP,10,125.51828690950006
VTRXP,11,110.73776575736315
VTRXP,1,89.02235782452551
VTRXP,4,101.88444784713795
VTRXP,5,112.45089576492389
VTRXP,7,105.89132834479625
VTRXP,8,128.58410602894182
VTRXP,12,109.72723860705655
VTRXP,2,93.36896821714414
VTRXP,9,111.62500477040659
VTRXP,6,92.03521707955065
GWVCV,9,118.57378936995053
GWVCV,5,130.24350559835335
GWVCV,10,117.34051468726645
GWVCV,2,102.84211486123527
GWVCV,8,95.82533764381488
GWVCV,11,113.90918145774171
GWVCV,12,123.0020138442209
GWVCV,3,94.7233801634889
GWVCV,1,90.30670799097575
GWVCV,4,113.8005498282913
GWVCV,7,96.88041894330667
GWVCV,6,89.93431424368534
RYSQA,11,109.94728339872182
RYSQA,12,132.2640167379853
RYSQA,2,99.24984401638005
RYSQA,4,94.53944398792419
RYSQA,5,105.29778923877917
RYSQA,1,77.25440711568486
RYSQA,6,105.94256556229139
RYSQA,7,114.58703925924213
RYSQA,10,113.4778463715955
RYSQA,3,111.9180939349797
RYSQA,9,105.56679592631086
RYSQA,8,92.40775816181457
BMGII,12,124.36856580457298
BMGII,7,103.32663427172936
BMGII,10,98.61629780859289
BMGII,6,99.32306102461968
BMGII,3,74.19668516985902
BMGII,9,108.03361913792523
BMGII,4,82.87544162273615
BMGII,5,96.88759741596596
BMGII,1,83.91402308077517
BMGII,2,100.48207488168327
BMGII,11,117.9774204876258
BMGII,8,117.66670965156572
